record_type,population,feature,level,count,fraction,mean,median,q25,q75,minimum,maximum
categorical_count,confirmation,torsion_element_sequence,N-N-N-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,P-N-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,S-C-N-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-C-C-S,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-N-S-O,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-S-N-S,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-N-C-S,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-P-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,H-C-N-O,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-Si-C-N,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-P-S-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-N-N-H,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-N-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,Si-C-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,S-N-C-N,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-C-O-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-C-Br,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,H-N-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-O-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,Cl-C-Si-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-O-Si-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-S-N-H,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-Si-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,Cl-S-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-S-H,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-N-C-N,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-O-P,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-O-C-S,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-C-N-N,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-Si-Si-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-C-C-Si,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,N-C-C-Br,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-C-H,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,P-C-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,H-N-C-O,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,C-C-N-P,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,S-C-C-O,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,S-N-C-S,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,Br-C-C-C,1,0.001,,,,,,
categorical_count,confirmation,torsion_element_sequence,O-P-C-O,1,0.001,,,,,,
continuous_summary,development,heavy_atom_count,all,1000,1.0,16.85,17.0,14.0,19.0,6.0,33.0
continuous_summary,development,heteroatom_count,all,1000,1.0,4.602,5.0,3.0,6.0,0.0,12.0
continuous_summary,development,formal_charge,all,1000,1.0,0.031,0.0,0.0,0.0,-2.0,2.0
continuous_summary,development,ring_count,all,1000,1.0,2.35,2.0,2.0,3.0,0.0,6.0
continuous_summary,development,rotatable_bond_count,all,1000,1.0,1.749,2.0,1.0,2.0,0.0,8.0
categorical_count,development,formal_charge_class,neutral,877,0.877,,,,,,
categorical_count,development,formal_charge_class,positive,73,0.073,,,,,,
categorical_count,development,formal_charge_class,negative,50,0.05,,,,,,
categorical_count,development,ring_class,ring_containing,970,0.97,,,,,,
categorical_count,development,ring_class,acyclic,30,0.03,,,,,,
