analysis_type,budget,comparator,metric,profile_count,hybrid_mean,comparator_mean,effect,ci_low,ci_high,positive_point_effect,positive_lower_bound,bootstrap_repeats
relative_reduction,1,zero_shot_active,profile_mae,1000,0.8398283994468894,0.9294192203797359,0.09639441381063985,0.0659013303602933,0.1260769146759262,True,True,5000
relative_reduction,1,zero_shot_active,barrier_abs_error,1000,1.1851820308472876,1.2916507796021073,0.08242843223275675,0.030584404467342848,0.13402271346660416,True,True,5000
relative_reduction,1,learned_equal,profile_mae,1000,0.8398283994468894,0.8411285505510385,0.00154572223627103,-0.03941557428996586,0.03871673293842426,True,False,5000
relative_reduction,1,learned_equal,barrier_abs_error,1000,1.1851820308472876,1.2641065373380145,0.06243501173321042,0.0018062826147412702,0.11831947897709376,True,True,5000
relative_reduction,2,zero_shot_active,profile_mae,1000,0.732064204888202,0.7954112123213232,0.0796405764110989,0.0511741858354145,0.10734725959168256,True,True,5000
relative_reduction,2,zero_shot_active,barrier_abs_error,1000,0.6355342331545696,0.7092751830049241,0.10396662905635956,0.021834020617131238,0.18849576620469638,True,True,5000
relative_reduction,2,learned_equal,profile_mae,1000,0.732064204888202,0.7125583800921058,-0.027374353233450055,-0.07451102801246039,0.015510150162095145,False,False,5000
relative_reduction,2,learned_equal,barrier_abs_error,1000,0.6355342331545696,1.0164322680913906,0.37474020344912284,0.3075611714895233,0.43933950647717473,True,True,5000
relative_reduction,4,zero_shot_active,profile_mae,1000,0.4857773878434301,0.5725835303032775,0.15160432996364592,0.120843914082709,0.18131629075540023,True,True,5000
relative_reduction,4,zero_shot_active,barrier_abs_error,1000,0.2457835819098295,0.31621210319314264,0.2227255711344336,0.13142620111411762,0.3075848715801359,True,True,5000
relative_reduction,4,learned_equal,profile_mae,1000,0.4857773878434301,0.47948142447031034,-0.01313077640093141,-0.06678232095193772,0.0369471696689844,False,False,5000
relative_reduction,4,learned_equal,barrier_abs_error,1000,0.2457835819098295,0.5190706332931684,0.5264929931587707,0.43971242758336976,0.6015319899768923,True,True,5000
relative_reduction,6,zero_shot_active,profile_mae,1000,0.32517546691771,0.3880421173675842,0.16200986345593504,0.1271821973200962,0.1966148734484698,True,True,5000
relative_reduction,6,zero_shot_active,barrier_abs_error,1000,0.13683710262983717,0.18289880271569825,0.2518425457243717,0.14743477966674837,0.3561276868352248,True,True,5000
relative_reduction,6,learned_equal,profile_mae,1000,0.32517546691771,0.35742595939692373,0.09022985497088465,0.03698470068744706,0.14082830639486102,True,True,5000
relative_reduction,6,learned_equal,barrier_abs_error,1000,0.13683710262983717,0.41483576591130916,0.6701415020731539,0.6004611743237127,0.7326746069382577,True,True,5000
mean_error_change_vs_always_learned,6,always_learned_active,profile_mae,1000,0.32517546691771,0.3156665241399749,0.009508942777735004,0.003053915342346756,0.016735829815136813,,,5000
mean_error_change_vs_always_learned,6,always_learned_active,barrier_abs_error,1000,0.13683710262983717,0.12263217235787621,0.014204930271960976,0.0032636761548007725,0.027529246864041297,,,5000
joint_regression_rate_reduction,6,zero_shot_active,both_endpoints,1000,0.094,0.143,0.049,0.036,0.063,True,True,5000
joint_regression_rate_reduction,6,learned_equal,both_endpoints,1000,0.1,0.095,-0.005,-0.017,0.007,False,False,5000
