scaffold_group,comparator,metric,effect_type,effect,ci_low,ci_high,profile_count
acyclic,zero_shot_active,profile_mae,relative_reduction,0.2527173967600995,0.0503449666933079,0.4401061085936707,27
acyclic,zero_shot_active,barrier_abs_error,relative_reduction,0.5435085618693611,0.14564582653621871,0.7506414380304178,27
acyclic,learned_equal,profile_mae,relative_reduction,0.31554507398156595,0.0644478852494867,0.5034658659913009,27
acyclic,learned_equal,barrier_abs_error,relative_reduction,0.8290349846815382,0.7134739855722694,0.9036630009263268,27
seen_development_scaffold,zero_shot_active,profile_mae,relative_reduction,0.10274625603157794,-0.18057077179003733,0.2692896417135973,187
seen_development_scaffold,zero_shot_active,barrier_abs_error,relative_reduction,-0.034610411918470696,-0.5960454182274597,0.29935838699313083,187
seen_development_scaffold,learned_equal,profile_mae,relative_reduction,0.04645115969548452,-0.24409377013766265,0.23088018520436412,187
seen_development_scaffold,learned_equal,barrier_abs_error,relative_reduction,0.3567097278834228,0.026005321125316443,0.6628171382923541,187
unseen_development_scaffold,zero_shot_active,profile_mae,relative_reduction,0.28467141318061406,0.23127276982849562,0.33774189798178134,786
unseen_development_scaffold,zero_shot_active,barrier_abs_error,relative_reduction,0.5064081845646752,0.3415728135972547,0.6334733465222453,786
unseen_development_scaffold,learned_equal,profile_mae,relative_reduction,0.07975613167773676,0.031241526802408538,0.1240793045769057,786
unseen_development_scaffold,learned_equal,barrier_abs_error,relative_reduction,0.722272030643488,0.66173650089867,0.774669783653844,786
