method,profile_mae_mean,profile_mae_std,profile_spearman_mean,profile_spearman_std,minimum_regret_mean,minimum_regret_std,barrier_abs_error_mean,barrier_abs_error_std,seed_count,profiles_per_seed
torsion_local_uma_mlp,1.0128257930930509,0.15420101355630597,0.8663989257260679,0.028884316034702272,0.2755555555555555,0.09030651252098988,1.488352703899145,0.23683024802244443,3,75
zero_shot_uma_omol,1.2456075264194304,0.2118719082277229,0.8214640874076564,0.026833326232011987,0.5219444444444444,0.17692705522437877,1.9136805555555556,0.2375778685699898,3,75
shuffled_uma_features,1.2789850671836647,0.21230347973209435,0.8088860123547573,0.02360417603564483,0.5381944444444444,0.16717959266520455,1.9046004652314714,0.25439173165044193,3,75
pooled_uma_ridge,2.560562334921625,0.34689751852148704,0.6277961265586106,0.03904290700558163,0.9929166666666668,0.3365916273633542,6.0222961574130585,0.8024718349279988,3,75
geometry_descriptor_extra_trees,2.826262585586841,0.3263380120319845,0.5156471662127057,0.01987655004153939,1.7548611111111108,0.14793270648557794,6.497535697851531,0.8110452987903498,3,75
geometry_descriptor_ridge,3.3215914299752978,0.3629026542129469,0.3193893234136764,0.06031654055181076,2.32875,0.9071172095955652,7.507851244608562,0.9005313838636183,3,75
angle_composition_ridge,3.415140248537064,0.3377990669429279,0.3028813130810096,0.04147542660246457,2.5880555555555556,0.8767143259119582,7.756490698920357,0.8723914713954445,3,75
