experiment,population,comparator,metric,effect,ci_low,ci_high,profile_count,effect_percent,ci_low_percent,ci_high_percent
E004B/C,Fresh within-shard,zero_shot_active,profile_mae,0.2497305494362832,0.1601644404937336,0.3501114278592772,500,24.97305494362832,16.01644404937336,35.01114278592772
E004B/C,Fresh within-shard,zero_shot_active,barrier_abs_error,0.4130289022623916,0.1010421979871098,0.6177825256915332,500,41.30289022623916,10.10421979871098,61.778252569153324
E004B/C,Fresh within-shard,learned_equal,profile_mae,0.1229207150983874,0.0614594636214568,0.1820806142927968,500,12.29207150983874,6.14594636214568,18.208061429279677
E004B/C,Fresh within-shard,learned_equal,barrier_abs_error,0.6893271617786796,0.6149578358723423,0.7551691573619451,500,68.93271617786796,61.49578358723423,75.5169157361945
E005B,External shard,zero_shot_active,profile_mae,0.2107430282632529,0.1708976690053686,0.2485254034224044,1000,21.07430282632529,17.08976690053686,24.852540342240438
E005B,External shard,zero_shot_active,barrier_abs_error,0.3740128684478919,0.1684257365942021,0.5768869886047475,1000,37.40128684478919,16.84257365942021,57.68869886047475
E005B,External shard,learned_equal,profile_mae,0.1173029094934864,0.0113656980435932,0.1943317943170963,1000,11.73029094934864,1.13656980435932,19.43317943170963
E005B,External shard,learned_equal,barrier_abs_error,0.6324589503502663,0.3974559160237683,0.787367772331832,1000,63.245895035026635,39.74559160237683,78.7367772331832
E006B,Confirmation shard,zero_shot_active,profile_mae,0.2450010854117285,0.1697531543306779,0.3028260254041215,1000,24.50010854117285,16.975315433067788,30.28260254041215
E006B,Confirmation shard,zero_shot_active,barrier_abs_error,0.3362135652521163,0.1402629862861681,0.5055984395973919,1000,33.62135652521163,14.026298628616809,50.55984395973919
E006B,Confirmation shard,learned_equal,profile_mae,0.0807713396460174,0.005511014754289,0.1405672780102663,1000,8.07713396460174,0.5511014754289,14.05672780102663
E006B,Confirmation shard,learned_equal,barrier_abs_error,0.6218685804128494,0.5025978585814885,0.7263573343351153,1000,62.18685804128494,50.25978585814885,72.63573343351153
