dimension,group,profile_count,comparator,metric,proposed_mean,comparator_mean,effect,ci_low,ci_high,positive_point_effect,positive_lower_bound,bootstrap_repeats
central_bond_group,C-C,385,zero_shot_active,profile_mae,0.2800181925063122,0.3253878157601879,0.13943245891946143,0.07701161842093959,0.19603583848140918,True,True,5000
central_bond_group,C-C,385,zero_shot_active,barrier_abs_error,0.12332636979306759,0.15801898550447577,0.21954713606502385,0.04597704061794998,0.38244923264865394,True,True,5000
central_bond_group,C-C,385,learned_equal,profile_mae,0.2800181925063122,0.31537054513570867,0.11209782642885624,0.0454553977972342,0.17462164125204133,True,True,5000
central_bond_group,C-C,385,learned_equal,barrier_abs_error,0.12332636979306759,0.3096089681973177,0.6016705507236142,0.4860905915237827,0.7034250149157765,True,True,5000
central_bond_group,C-N,284,zero_shot_active,profile_mae,0.3561917908478133,0.5102280775007676,0.30189692305344085,0.23918522737587486,0.3598078249191144,True,True,5000
central_bond_group,C-N,284,zero_shot_active,barrier_abs_error,0.09894021789486726,0.19294772410021716,0.4872174919074057,0.3363422910146453,0.6089969956160906,True,True,5000
central_bond_group,C-N,284,learned_equal,profile_mae,0.3561917908478133,0.4058623542843559,0.12238278054668339,0.05839430801700067,0.18525694613713353,True,True,5000
central_bond_group,C-N,284,learned_equal,barrier_abs_error,0.09894021789486726,0.45545012503867277,0.7827638802679742,0.7160883549067749,0.8416625456378476,True,True,5000
central_bond_group,other,66,zero_shot_active,profile_mae,0.32048669971475985,0.34553276164950414,0.07248534644060789,-0.11540801923998843,0.19949900468458615,True,False,5000
central_bond_group,other,66,zero_shot_active,barrier_abs_error,0.13227449875624558,0.22328830594790544,0.4076066895007656,-1.429244629416427,0.7533099249270101,True,False,5000
central_bond_group,other,66,learned_equal,profile_mae,0.32048669971475985,0.30594769719139275,-0.04752120266580029,-0.2572167267234751,0.17048565918828731,False,False,5000
central_bond_group,other,66,learned_equal,barrier_abs_error,0.13227449875624558,0.39647300850799677,0.6663719952739793,0.27427278373475417,0.8392815850556519,True,True,5000
heavy_atom_bin,at_most_12,72,zero_shot_active,profile_mae,0.43479609581830747,0.5997575288535835,0.27504687327659605,0.10547748209602566,0.4047413672423062,True,True,5000
heavy_atom_bin,at_most_12,72,zero_shot_active,barrier_abs_error,0.2381076471435233,0.3255051662572679,0.268498101331727,-0.05263302744565982,0.5168381517623338,True,False,5000
heavy_atom_bin,at_most_12,72,learned_equal,profile_mae,0.43479609581830747,0.47514593094087076,0.08492093164443959,-0.0927235960213492,0.22749870075154133,True,False,5000
heavy_atom_bin,at_most_12,72,learned_equal,barrier_abs_error,0.2381076471435233,0.5195955296324981,0.541744234574279,0.306024603065415,0.7466181833192024,True,True,5000
heavy_atom_bin,13_to_20,535,zero_shot_active,profile_mae,0.3018221568107299,0.37324420374808637,0.19135473831915517,0.14261012812290103,0.2365520714654479,True,True,5000
heavy_atom_bin,13_to_20,535,zero_shot_active,barrier_abs_error,0.10406611751364021,0.15936822683092858,0.34700837436032694,0.16084319503909322,0.4922364732806439,True,True,5000
heavy_atom_bin,13_to_20,535,learned_equal,profile_mae,0.3018221568107299,0.336899373818599,0.10411778630006063,0.052788883769113684,0.15297917482913875,True,True,5000
heavy_atom_bin,13_to_20,535,learned_equal,barrier_abs_error,0.10406611751364021,0.3507812114916361,0.7033304119364969,0.6323114147249118,0.7636902361910807,True,True,5000
heavy_atom_bin,over_20,128,zero_shot_active,profile_mae,0.2916986101892557,0.3915316739380735,0.25498081098952896,0.15794243265489022,0.34104217871405607,True,True,5000
heavy_atom_bin,over_20,128,zero_shot_active,barrier_abs_error,0.08977084145511204,0.1693212338373166,0.46981935212352854,0.16279337808279667,0.7257882314323109,True,True,5000
heavy_atom_bin,over_20,128,learned_equal,profile_mae,0.2916986101892557,0.3314331600620598,0.11988706822625694,-0.013334695110030059,0.242755327209756,True,False,5000
heavy_atom_bin,over_20,128,learned_equal,barrier_abs_error,0.08977084145511204,0.38777875427275765,0.7684998456827045,0.6088838054128864,0.896837112988933,True,True,5000
