role,profile,method,candidate_index,angle_rad,target_relative_kcal_mol,prior_relative_kcal_mol,posterior_relative_kcal_mol,selected,selected_order
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,15,1.0471976,15.0,14.03125,15.98047296388734,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,16,1.3089969,23.34375,22.15625,24.73995457536717,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,17,1.5707964,32.9375,30.0625,32.9375,True,2
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,18,1.8325957,21.53125,22.0625,24.772593297170534,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,19,2.0943952,13.9375,14.34375,16.529953268374214,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,20,2.3561945,7.9375,8.125,9.608640377097236,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,21,2.6179938,3.5625,3.6875,4.483033941461101,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,22,2.8797932,0.90625,1.0,1.2673071516511616,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,zero_shot_active,23,3.1415927,0.0,0.0,0.0,True,3
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,0,-2.8797932,0.90625,0.8654524683952332,0.6782918918339238,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,1,-2.6179938,3.5625,3.3780594766139984,3.0702747037549765,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,2,-2.3561945,7.9375,7.706949718296528,7.20539680975711,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,3,-2.0943952,13.96875,13.900480300188065,13.203799734655206,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,4,-1.8325957,21.53125,22.26493027806282,21.472931285488748,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,5,-1.5707964,32.9375,33.64711180329323,32.9375,True,4
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,6,-1.3089969,23.34375,23.852435439825058,23.399650401110982,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,7,-1.0471976,15.0,15.00977093540132,14.846692701478634,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,8,-0.7853982,8.34375,8.33827194571495,8.34375,True,6
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,9,-0.5235988,3.65625,3.715630292892456,3.710259208109698,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,10,-0.2617994,0.90625,1.005790948867796,0.941209342652968,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,11,-5.702841e-10,0.0,0.0,0.0,True,1
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,12,0.2617994,0.90625,0.782921314239502,1.0314558844840462,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,13,0.5235988,3.65625,3.301023393869401,3.797773509888045,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,14,0.7853982,8.34375,7.8523639515042305,8.34375,True,5
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,15,1.0471976,15.0,14.839696794748306,14.935026970394286,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,16,1.3089969,23.34375,23.997833877801895,23.475460599838698,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,17,1.5707964,32.9375,34.00313821434975,32.9375,True,3
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,18,1.8325957,21.53125,23.564630061388016,22.280555197256145,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,19,2.0943952,13.9375,14.912502840161324,13.73878325188111,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,20,2.3561945,7.9375,8.509647037833929,7.639844534637555,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,21,2.6179938,3.5625,3.9518502056598663,3.4107391111893,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,22,2.8797932,0.90625,1.1945220977067947,0.8979901115566022,False,0
median_learned_profile_mae,01080ea01c465457968bcb0c12a4152b,learned_equal,23,3.1415927,0.0,0.17744135856628418,0.0,True,2
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,0,-2.8797932,4.9375,5.123473435640335,5.3388233386096475,True,6
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,1,-2.6179938,1.6875,0.09173105657100677,1.2912959627243237,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,2,-2.3561945,1.6875,0.0,2.0888233386096475,True,1
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,3,-2.0943952,2.03125,1.224176357500255,3.7098924020887285,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,4,-1.8325957,2.34375,2.130511164665222,4.477159253710954,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,5,-1.5707964,2.40625,2.54724982380867,4.401545673199439,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,6,-1.3089969,2.15625,2.378688804805279,3.6379472127905492,False,0
