comparator,metric,effect_type,effect,ci_low,ci_high,profile_count
zero_shot_active,profile_mae,relative_reduction,0.24973054943628326,0.16016444049373363,0.3501114278592772,500
zero_shot_active,barrier_abs_error,relative_reduction,0.41302890226239164,0.10104219798710988,0.6177825256915332,500
zero_shot_active,minimum_regret,relative_reduction,0.2662702345556657,-0.07636139982308708,0.5173661259009986,500
zero_shot_active,profile_spearman,absolute_gain,0.013271426561970803,0.005307903574027903,0.022105696983930903,500
learned_equal,profile_mae,relative_reduction,0.12292071509838742,0.06145946362145685,0.1820806142927968,500
learned_equal,barrier_abs_error,relative_reduction,0.6893271617786796,0.6149578358723423,0.7551691573619451,500
learned_equal,minimum_regret,relative_reduction,0.20279971284996412,-0.198445402254528,0.5044937557462457,500
learned_equal,profile_spearman,absolute_gain,-0.007730209180743581,-0.01382737951274504,-0.0026069391725533422,500
