seed,role,method,profile_count,profile_mae,profile_spearman,minimum_regret,barrier_abs_error
4101,validation,angle_composition_ridge,75,3.1582497171560924,0.2668803669414786,2.05625,7.010377130508423
4101,validation,geometry_descriptor_ridge,75,3.1032056009769438,0.25942852592992743,2.1579166666666665,6.873056221008301
4101,validation,geometry_descriptor_extra_trees,75,2.626617307770662,0.5030471496043624,1.5683333333333334,6.439751961104097
4101,validation,pooled_uma_ridge,75,2.413256816069285,0.6055436368993488,0.8066666666666666,5.688442885080973
4101,validation,torsion_local_uma_mlp,75,0.7957622453718876,0.8920345266609193,0.2325,1.0541447047392527
4101,validation,shuffled_uma_features,75,0.9841553763691413,0.878299849010207,0.30541666666666667,1.5140198076764741
4101,validation,zero_shot_uma_omol,75,0.9460086046170606,0.8920536696289851,0.25333333333333335,1.4741666666666666
4101,test,angle_composition_ridge,75,3.7329344113667804,0.2568149382277562,3.5275,8.642687253952026
4101,test,geometry_descriptor_ridge,75,3.6605100969473523,0.25500244132899313,3.316666666666667,8.435801423390707
4101,test,geometry_descriptor_extra_trees,75,3.179293812415713,0.4991349419665843,1.8958333333333333,7.383239642781986
4101,test,pooled_uma_ridge,75,2.960906666914622,0.5881800590293281,1.37125,6.942097597122192
4101,test,torsion_local_uma_mlp,75,1.068371435155558,0.8992212181135477,0.20291666666666666,1.6863498681783675
4101,test,shuffled_uma_features,75,1.3079487464695472,0.8232835443522726,0.6433333333333333,2.0664624447623887
4101,test,zero_shot_uma_omol,75,1.27820288069101,0.8403004061147934,0.6695833333333333,2.066875
5823,validation,angle_composition_ridge,75,3.099927920103073,0.2507503685375442,2.6979166666666665,6.581661901473999
5823,validation,geometry_descriptor_ridge,75,2.994143297672272,0.2869674993151672,2.152083333333333,6.329837417602539
5823,validation,geometry_descriptor_extra_trees,75,2.592380947662145,0.38937582578457103,1.6654166666666668,5.720897728600489
5823,validation,pooled_uma_ridge,75,2.2630680416027706,0.6180662637963386,1.0575,5.2272812938690185
5823,validation,torsion_local_uma_mlp,75,0.97329705204145,0.8668926056818248,0.2975,1.2480824703971545
5823,validation,shuffled_uma_features,75,1.2384870355515198,0.809450415465168,0.66125,1.6558317303657533
5823,validation,zero_shot_uma_omol,75,1.194212497948911,0.8215192936928715,0.52375,1.6466666666666667
5823,test,angle_composition_ridge,75,3.452108840942383,0.3145730789580207,2.445,7.728191925684611
5823,test,geometry_descriptor_ridge,75,3.365554071267446,0.3285864141869416,2.13625,7.450248057047526
5823,test,geometry_descriptor_extra_trees,75,2.7638662639672806,0.5377086062705954,1.6008333333333333,6.31820007808742
5823,test,pooled_uma_ridge,75,2.371844436128934,0.6662394489602168,0.8808333333333334,5.465261357625326
5823,test,torsion_local_uma_mlp,75,1.131558821152166,0.8448568386229386,0.37666666666666665,1.5527138737837474
5823,test,shuffled_uma_features,75,1.4753197270563547,0.7816450301460317,0.6258333333333334,2.0359562574823697
5823,test,zero_shot_uma_omol,75,1.4392928549197856,0.7907404775813579,0.5704166666666667,2.0341666666666667
7919,validation,angle_composition_ridge,75,3.4933183165391286,0.22682982705926497,2.55375,7.870228068033854
7919,validation,geometry_descriptor_ridge,75,3.396472232739131,0.22786696996173347,2.67875,7.636839570999146
7919,validation,geometry_descriptor_extra_trees,75,2.8022906930501685,0.4822222025611294,1.4154166666666668,6.542433991402118
7919,validation,pooled_uma_ridge,75,2.3965108931064605,0.6591452847037049,1.00625,5.837692794799804
7919,validation,torsion_local_uma_mlp,75,1.0452742399041661,0.8927154045901269,0.34125,1.5775743758678435
7919,validation,shuffled_uma_features,75,1.4282599049121993,0.8214332215504988,0.9425,2.0824170734484992
7919,validation,zero_shot_uma_omol,75,1.395358063235709,0.8278751044652711,0.7895833333333333,2.0429166666666667
7919,test,angle_composition_ridge,75,3.0603774933020276,0.3372559220572518,1.7916666666666667,6.8985929171244305
7919,test,geometry_descriptor_ridge,75,2.9387101217110954,0.3745791147250944,1.5333333333333334,6.637504253387451
7919,test,geometry_descriptor_extra_trees,75,2.5356276803775293,0.5100979504009373,1.7679166666666666,5.7911673726851856
7919,test,pooled_uma_ridge,75,2.3489359017213185,0.6289688716862868,0.7266666666666667,5.6595295174916584
7919,test,torsion_local_uma_mlp,75,0.8385471229714284,0.8551187204417171,0.24708333333333332,1.2259943697353204
7919,test,shuffled_uma_features,75,1.053686728025092,0.8217294625659677,0.34541666666666665,1.6113826934496562
7919,test,zero_shot_uma_omol,75,1.0193268436474958,0.8333513785268181,0.3258333333333333,1.64
