method,budget,metric,mean,ci_low,ci_high,profile_count,bootstrap_repeats
equal_spacing_interpolation,0,profile_mae,4.276139556846314,4.124819019132299,4.428283562065595,1000,5000
equal_spacing_interpolation,0,barrier_abs_error,11.100296875,10.669305078125001,11.53499765625,1000,5000
equal_spacing_interpolation,1,profile_mae,4.276139556846314,4.121534578254588,4.426497958623199,1000,5000
equal_spacing_interpolation,1,barrier_abs_error,11.100296875,10.667824609375002,11.528228515624999,1000,5000
equal_spacing_interpolation,2,profile_mae,3.125824310952399,2.9991923857560057,3.260258170841381,1000,5000
equal_spacing_interpolation,2,barrier_abs_error,6.623734375,6.2172453125,7.047722265625,1000,5000
equal_spacing_interpolation,4,profile_mae,1.647873076903693,1.5815516857599468,1.7165138558148485,1000,5000
equal_spacing_interpolation,4,barrier_abs_error,1.29334375,1.181109375,1.40678125,1000,5000
equal_spacing_interpolation,6,profile_mae,1.048684812717791,1.0048577229550453,1.092067311906642,1000,5000
equal_spacing_interpolation,6,barrier_abs_error,0.8850625,0.796837109375,0.977408203125,1000,5000
learned_active,0,profile_mae,0.8438142569362314,0.7994539409371145,0.890655448961751,1000,5000
learned_active,0,barrier_abs_error,1.2331940337681444,1.1499555663192587,1.3202031158986558,1000,5000
learned_active,1,profile_mae,0.8349954775451585,0.7889345373863956,0.8840054351016107,1000,5000
learned_active,1,barrier_abs_error,1.072792990207657,0.9958287501571405,1.1581447383262264,1000,5000
learned_active,2,profile_mae,0.704144624996761,0.6635772507617659,0.7463451319837484,1000,5000
learned_active,2,barrier_abs_error,0.5741117002669562,0.5031028995782951,0.658189833704353,1000,5000
learned_active,4,profile_mae,0.4662002245246103,0.4317244095568711,0.5054774607296965,1000,5000
learned_active,4,barrier_abs_error,0.21832916413774411,0.16657424211762617,0.2840839800580147,1000,5000
learned_active,6,profile_mae,0.33987293494838594,0.30560231041385927,0.38135648719745185,1000,5000
learned_active,6,barrier_abs_error,0.15247703417369132,0.10098773808627297,0.2211874728480808,1000,5000
learned_equal,0,profile_mae,0.8438142569362314,0.8001369444887143,0.8894773086271778,1000,5000
learned_equal,0,barrier_abs_error,1.2331940337681444,1.1509819288043392,1.3231868415585077,1000,5000
