method,budget,metric,error_kcal_mol,cumulative_fraction,profile_count
learned_active,6,profile_mae,0.0804498277659087,0.11,1000
learned_active,6,profile_mae,0.0804778139376075,0.111,1000
learned_active,6,profile_mae,0.0805830060343763,0.112,1000
learned_active,6,profile_mae,0.0807339983659553,0.113,1000
learned_active,6,profile_mae,0.0816265346770347,0.114,1000
learned_active,6,profile_mae,0.0819501031211404,0.115,1000
learned_active,6,profile_mae,0.082239699598847,0.116,1000
learned_active,6,profile_mae,0.0834508447794303,0.117,1000
learned_active,6,profile_mae,0.0835822714906347,0.118,1000
learned_active,6,profile_mae,0.0849043626034863,0.119,1000
learned_active,6,profile_mae,0.085070412969731,0.12,1000
learned_active,6,profile_mae,0.0851535206944903,0.121,1000
learned_active,6,profile_mae,0.0855814237429942,0.122,1000
learned_active,6,profile_mae,0.0859811374761182,0.123,1000
learned_active,6,profile_mae,0.0862129120220288,0.124,1000
learned_active,6,profile_mae,0.0863714090325059,0.125,1000
learned_active,6,profile_mae,0.0873666496979671,0.126,1000
learned_active,6,profile_mae,0.0886725148482662,0.127,1000
learned_active,6,profile_mae,0.0889923612519105,0.128,1000
learned_active,6,profile_mae,0.0891433604746283,0.129,1000
learned_active,6,profile_mae,0.0900572773268522,0.13,1000
learned_active,6,profile_mae,0.0903997597880576,0.131,1000
learned_active,6,profile_mae,0.0908368529870619,0.132,1000
learned_active,6,profile_mae,0.0908497766487253,0.133,1000
learned_active,6,profile_mae,0.0909942461191467,0.134,1000
learned_active,6,profile_mae,0.0915301629776509,0.135,1000
learned_active,6,profile_mae,0.0920368650147464,0.136,1000
learned_active,6,profile_mae,0.092135413736219,0.137,1000
learned_active,6,profile_mae,0.0923296968680143,0.138,1000
learned_active,6,profile_mae,0.092424127861141,0.139,1000
learned_active,6,profile_mae,0.0929978557418756,0.14,1000
learned_active,6,profile_mae,0.0930513600249484,0.141,1000
learned_active,6,profile_mae,0.0935309007742663,0.142,1000
learned_active,6,profile_mae,0.0937317706230039,0.143,1000
learned_active,6,profile_mae,0.0938302303190696,0.144,1000
learned_active,6,profile_mae,0.0941021818791757,0.145,1000
learned_active,6,profile_mae,0.0943974882147603,0.146,1000
learned_active,6,profile_mae,0.0944424364240174,0.147,1000
learned_active,6,profile_mae,0.0949408271909659,0.148,1000
learned_active,6,profile_mae,0.0950491755947334,0.149,1000
learned_active,6,profile_mae,0.0950616043888833,0.15,1000
learned_active,6,profile_mae,0.0950666135210807,0.151,1000
learned_active,6,profile_mae,0.096790292422998,0.152,1000
learned_active,6,profile_mae,0.0968628746942153,0.153,1000
